"path","clicks","impressions","type","sample_url"
"/","27781","1559610","home","https://itanet.ir/"
"/prices/","4688","290497","page","https://itanet.ir/prices/"
"/ftth/","4214","68149","page","https://itanet.ir/ftth/"
"/blog/%DA%A9%D8%A7%D9%86%D9%81%DB%8C%DA%AF-%D9%88-%D8%AA%D9%86%D8%B8%DB%8C%D9%85-%D9%85%D9%88%D8%AF%D9%85-%D9%81%DB%8C%D8%A8%D8%B1-%D9%86%D9%88%D8%B1%DB%8C-%D9%87%D9%88%D8%A7%D9%88%DB%8C/","3465","57630","blog","https://itanet.ir/blog/%DA%A9%D8%A7%D9%86%D9%81%DB%8C%DA%AF-%D9%88-%D8%AA%D9%86%D8%B8%DB%8C%D9%85-%D9%85%D9%88%D8%AF%D9%85-%D9%81%DB%8C%D8%A8%D8%B1-%D9%86%D9%88%D8%B1%DB%8C-%D9%87%D9%88%D8%A7%D9%88%DB%8C/"
"/blog/%D8%B1%D8%A7%D9%87%D9%86%D9%85%D8%A7%DB%8C-%D8%AE%D8%B1%DB%8C%D8%AF-%D8%A8%D8%B3%D8%AA%D9%87-%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%D9%86%D8%AA-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86%D8%B3%D9%84-%D8%AF%D8%B1-%D8%A7%D9%BE%D9%84%DB%8C%DA%A9%DB%8C%D8%B4%D9%86-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86%D8%B3%D9%84-%D9%85%D9%86","2534","611429","blog","https://itanet.ir/blog/%D8%B1%D8%A7%D9%87%D9%86%D9%85%D8%A7%DB%8C-%D8%AE%D8%B1%DB%8C%D8%AF-%D8%A8%D8%B3%D8%AA%D9%87-%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%D9%86%D8%AA-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86%D8%B3%D9%84-%D8%AF%D8%B1-%D8%A7%D9%BE%D9%84%DB%8C%DA%A9%DB%8C%D8%B4%D9%86-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86%D8%B3%D9%84-%D9%85%D9%86"
"/blog/%DA%A9%D8%A7%D9%86%D9%81%DB%8C%DA%AF-%D9%88-%D8%AA%D9%86%D8%B8%DB%8C%D9%85-%D9%85%D9%88%D8%AF%D9%85-%D9%81%DB%8C%D8%A8%D8%B1-%D9%86%D9%88%D8%B1%DB%8C-%D9%87%D9%88%D8%A7%D9%88%DB%8C","1246","26930","blog","https://itanet.ir/blog/%DA%A9%D8%A7%D9%86%D9%81%DB%8C%DA%AF-%D9%88-%D8%AA%D9%86%D8%B8%DB%8C%D9%85-%D9%85%D9%88%D8%AF%D9%85-%D9%81%DB%8C%D8%A8%D8%B1-%D9%86%D9%88%D8%B1%DB%8C-%D9%87%D9%88%D8%A7%D9%88%DB%8C"
"/blog/adsl","467","32222","blog","https://itanet.ir/blog/adsl"
"/blog/%D8%B1%D8%A7%D9%86%DA%98%D9%87-%DA%A9%D8%B1%D8%AF%D9%86-%D8%AE%D8%B7-%D8%AA%D9%84%D9%81%D9%86-%DA%86%DB%8C%D8%B3%D8%AA","394","16994","blog","https://itanet.ir/blog/%D8%B1%D8%A7%D9%86%DA%98%D9%87-%DA%A9%D8%B1%D8%AF%D9%86-%D8%AE%D8%B7-%D8%AA%D9%84%D9%81%D9%86-%DA%86%DB%8C%D8%B3%D8%AA"
"/blog/wifi/","383","65363","blog","https://itanet.ir/blog/wifi/"
"/2ghasemi","369","12854","affiliate","https://itanet.ir/2ghasemi"
"/blog/%D8%B1%D8%A7%D9%87%D9%86%D9%85%D8%A7%DB%8C-%D8%AC%D8%A7%D9%85%D8%B9-%D8%B4%D8%A7%D8%B1%DA%98-%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%D9%86%D8%AA-%D9%85%D8%AE%D8%A7%D8%A8%D8%B1%D8%A7%D8%AA-%D8%AF%D8%B1-5-%D8%AF%D9%82%DB%8C%D9%82%D9%87","262","45108","blog","https://itanet.ir/blog/%D8%B1%D8%A7%D9%87%D9%86%D9%85%D8%A7%DB%8C-%D8%AC%D8%A7%D9%85%D8%B9-%D8%B4%D8%A7%D8%B1%DA%98-%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%D9%86%D8%AA-%D9%85%D8%AE%D8%A7%D8%A8%D8%B1%D8%A7%D8%AA-%D8%AF%D8%B1-5-%D8%AF%D9%82%DB%8C%D9%82%D9%87"
"/blog/%D8%B1%D8%A7%D9%87%D9%86%D9%85%D8%A7%DB%8C-%D8%AE%D8%B1%DB%8C%D8%AF-%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%D9%86%D8%AA-%D9%81%DB%8C%D8%A8%D8%B1-%D9%86%D9%88%D8%B1%DB%8C-%D9%85%D8%AE%D8%A7%D8%A8%D8%B1%D8%A7%D8%AA-%D8%A7%D8%B5%D9%81%D9%87%D8%A7%D9%86","229","8771","blog","https://itanet.ir/blog/%D8%B1%D8%A7%D9%87%D9%86%D9%85%D8%A7%DB%8C-%D8%AE%D8%B1%DB%8C%D8%AF-%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%D9%86%D8%AA-%D9%81%DB%8C%D8%A8%D8%B1-%D9%86%D9%88%D8%B1%DB%8C-%D9%85%D8%AE%D8%A7%D8%A8%D8%B1%D8%A7%D8%AA-%D8%A7%D8%B5%D9%81%D9%87%D8%A7%D9%86"
"/agentsservice/","222","998","page","https://itanet.ir/agentsservice/"
"/charging/","188","13637","page","https://itanet.ir/charging/"
"/contact/","184","4474","page","https://itanet.ir/contact/"
"/shahin","134","4812","affiliate","https://itanet.ir/shahin"
"/blog/%D8%AA%D9%81%D8%A7%D9%88%D8%AA-%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%D9%86%D8%AA-adsl-%D9%88-%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%D9%86%D8%AA-%D9%81%DB%8C%D8%A8%D8%B1-%D9%86%D9%88%D8%B1%DB%8C%D8%9B-%DA%A9%D8%AF%D8%A7%D9%85-%D8%B1%D8%A7-%D8%A7%D9%86%D8%AA%D8%AE%D8%A7%D8%A8-%DA%A9%D9%86%DB%8C%D9%85/","65","3696","blog","https://itanet.ir/blog/%D8%AA%D9%81%D8%A7%D9%88%D8%AA-%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%D9%86%D8%AA-adsl-%D9%88-%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%D9%86%D8%AA-%D9%81%DB%8C%D8%A8%D8%B1-%D9%86%D9%88%D8%B1%DB%8C%D8%9B-%DA%A9%D8%AF%D8%A7%D9%85-%D8%B1%D8%A7-%D8%A7%D9%86%D8%AA%D8%AE%D8%A7%D8%A8-%DA%A9%D9%86%DB%8C%D9%85/"
"/speed-test/","48","669","page","https://itanet.ir/speed-test/"
"/blog/%D8%A7%D9%86%D9%88%D8%A7%D8%B9-%D9%85%D9%88%D8%AF%D9%85-%D9%81%DB%8C%D8%A8%D8%B1-%D9%86%D9%88%D8%B1%DB%8C--%D9%85%D8%B9%D8%B1%D9%81%DB%8C-%D8%A8%D9%87%D8%AA%D8%B1%DB%8C%D9%86-%D9%85%D8%AF%D9%84-%D9%87%D8%A7/","47","2463","blog","https://itanet.ir/blog/%D8%A7%D9%86%D9%88%D8%A7%D8%B9-%D9%85%D9%88%D8%AF%D9%85-%D9%81%DB%8C%D8%A8%D8%B1-%D9%86%D9%88%D8%B1%DB%8C--%D9%85%D8%B9%D8%B1%D9%81%DB%8C-%D8%A8%D9%87%D8%AA%D8%B1%DB%8C%D9%86-%D9%85%D8%AF%D9%84-%D9%87%D8%A7/"
"/blog/mac-address","43","3004","blog","https://itanet.ir/blog/mac-address"
"/app/profiles","10","351","app","https://itanet.ir/app/profiles"
"/blog/%D9%87%D9%85%D9%87-%DA%86%DB%8C%D8%B2-%D8%AF%D8%B1%D8%A8%D8%A7%D8%B1%D9%87-%D8%B1%D8%A7%D8%A8%D8%B7%D9%87-%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%D9%86%D8%AA-%D9%81%DB%8C%D8%A8%D8%B1-%D9%86%D9%88%D8%B1%DB%8C-%D9%88-%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%D9%86%D8%AA-%D8%A7%D8%B4%DB%8C%D8%A7%D8%A1/","7","651","blog","https://itanet.ir/blog/%D9%87%D9%85%D9%87-%DA%86%DB%8C%D8%B2-%D8%AF%D8%B1%D8%A8%D8%A7%D8%B1%D9%87-%D8%B1%D8%A7%D8%A8%D8%B7%D9%87-%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%D9%86%D8%AA-%D9%81%DB%8C%D8%A8%D8%B1-%D9%86%D9%88%D8%B1%DB%8C-%D9%88-%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%D9%86%D8%AA-%D8%A7%D8%B4%DB%8C%D8%A7%D8%A1/"
"/lows/","5","154","page","https://itanet.ir/lows/"
"/shops?categoryId=1726","5","194","shop","https://itanet.ir/shops?categoryId=1726"
"/blog/%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%D9%86%D8%AA-5g","4","638","blog","https://itanet.ir/blog/%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%D9%86%D8%AA-5g"
"/blog/%D8%AA%D8%A3%D8%AB%DB%8C%D8%B1-%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%D9%86%D8%AA-%D9%81%DB%8C%D8%A8%D8%B1-%D9%86%D9%88%D8%B1%DB%8C-%D8%A8%D8%B1-%D8%B1%D8%B4%D8%AF-%DA%A9%D8%B3%D8%A8-%D9%88-%DA%A9%D8%A7%D8%B1%D9%87%D8%A7%DB%8C-%D8%A2%D9%86%D9%84%D8%A7%DB%8C%D9%86-%D9%88-%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF-%D8%AF%DB%8C%D8%AC%DB%8C%D8%AA%D8%A7%D9%84/","2","163","blog","https://itanet.ir/blog/%D8%AA%D8%A3%D8%AB%DB%8C%D8%B1-%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%D9%86%D8%AA-%D9%81%DB%8C%D8%A8%D8%B1-%D9%86%D9%88%D8%B1%DB%8C-%D8%A8%D8%B1-%D8%B1%D8%B4%D8%AF-%DA%A9%D8%B3%D8%A8-%D9%88-%DA%A9%D8%A7%D8%B1%D9%87%D8%A7%DB%8C-%D8%A2%D9%86%D9%84%D8%A7%DB%8C%D9%86-%D9%88-%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF-%D8%AF%DB%8C%D8%AC%DB%8C%D8%AA%D8%A7%D9%84/"
"/blog/","1","32","blog","https://itanet.ir/blog/"
"/kh/","1","193","page","https://itanet.ir/kh/"
"/moba/article/","0","6","legacy-article","https://itanet.ir/moba/article/"
"/shops/?categoryId=1728","0","1","shop","https://itanet.ir/shops/?categoryId=1728"
"/10806/article/","0","276","legacy-article","https://itanet.ir/10806/article/"
"/blog/vps","0","26","blog","https://itanet.ir/blog/vps"
